index,target_X,target_Y,pred_X,pred_Y,timestamp,segmentIndex,latency
0,50,52.25463403194264,496.8987004043218,496.9283809367387,35.0,0,127.10
1,50,57.64312231966337,486.4070045230992,486.58643083427233,96.2,0,116.40
2,50,64.18939565810629,417.8312748680696,419.3059708200355,170.3,0,102.50
3,50,68.5593813085482,354.4296356350498,358.45063058170024,218.5,0,114.50
4,50,73.78247173484499,198.92644543553797,208.5506357829367,279.6,0,125.90
5,50,79.04908791469425,126.90422641946614,142.76129244454205,340.9,0,128.50
6,50,85.33420673182235,20.238377272893135,39.08008948336743,412.5,0,117.30
7,50,90.90550318653891,-12.444284029536092,12.570383289422754,476.6,0,91.30
8,50,96.15470906081626,-47.152056991001025,-11.652925815767986,534.3,0,68.00
9,50,99.47137148359019,-53.132130530731345,-11.607015875283004,572.3,0,59.70
10,50,102.46594332592488,-49.49714043477343,-1.705948535254997,605.6,0,62.70
11,50,105.05137309109273,-42.954192790868305,10.41558947096275,635.4,0,66.70
12,50,108.20263765244275,-24.960428561625136,33.68871227644997,671.9,0,65.40
13,50,111.13627343565304,-19.106983181264866,38.11664723126933,705.8,0,69.10
14,50,114.55739767110383,-1.975543822369982,54.00770369154432,745.4,0,67.50
15,50,117.49103345431413,7.988338193981135,67.18230488212804,779.3,0,66.70
16,50,120.80769587708807,23.462850225881265,82.63073023269475,817.3,0,67.20
17,50,123.6803956115513,30.766490973648864,96.723829939772,849.6,0,72.80
18,50,127.02317348230578,41.20712502354743,112.58635402106556,888.9,0,72.20
19,50,130.33113075229375,44.337096546086094,115.50486396188307,927.1,0,71.00
20,50,133.6826137758342,50.15469596913314,123.16903647599933,965.0,0,69.90
21,50,136.92092984428913,52.37091762668975,129.15736892560736,1004.0,0,65.70
22,50,140.11572014881426,53.171575445618814,122.22800552169095,1038.7,0,69.10
23,50,143.1625228974874,53.27822485095163,120.57962555047617,1073.6,0,75.40
24,50,146.4704801674754,54.15606138722182,108.8748691143307,1112.0,0,76.00
25,50,150.04829711156415,54.59291799483201,116.86170995402593,1153.1,0,76.00
26,50,153.43460073587107,53.63331751266058,121.35947857627637,1192.6,0,78.00
27,50,157.0298279855318,54.012322489495126,123.28895922965054,1233.0,0,82.20
28,50,160.6337603776011,53.77741711413327,132.68609626719757,1276.5,0,80.10
29,50,164.52496274934316,53.898140230267074,134.8066125417398,1319.9,0,79.40
30,50,168.1027796830546,51.08744804691289,105.00482960748533,1360.4,0,82.00
31,50,171.83728934615868,50.46480087225306,114.37680984010188,1404.1,0,82.60
32,50,175.58920929407998,50.050745473487574,116.37802978464237,1446.9,0,84.60
33,50,179.44559106505554,50.164914720619606,137.42981541635734,1491.2,0,85.60
34,50,183.36290888477814,51.22182718965601,160.71558453738862,1536.1,0,82.10
35,50,187.28893185728668,50.949790076156,165.76971713475368,1581.3,0,85.70
36,50,190.89286424935602,51.030506108501,165.25993618222495,1623.1,0,83.90
37,50,195.14097779192645,51.304585091560774,164.48416600253816,1671.5,0,86.80
38,50,198.6317432289103,51.64419453197023,152.04756589205584,1711.5,0,95.70
39,50,203.0887803968345,52.32047465118397,145.62399698715623,1762.6,0,97.30
40,50,207.34559909219092,52.301300669081975,139.50239882357525,1812.2,0,91.00
41,50,211.94191866318116,51.77818875559403,119.49858319154126,1864.6,0,86.60
42,50,215.7025437742658,52.50234533186789,100.31350489416735,1907.0,0,86.80
43,50,219.88972126808918,51.942386846120144,128.32572680998464,1955.2,0,87.80
44,50,223.5894103200494,51.47738670998832,168.49095131045362,1997.9,0,86.40
45,50,227.87234446338638,50.789396633095414,196.60190277701517,2047.1,0,87.80
46,50,231.4588665602611,50.219440813347674,216.07779346487035,2089.2,0,89.70
47,50,235.87237796425552,49.76235375363955,218.75351594411643,2139.1,0,88.80
48,50,239.70264427687314,48.17841622826075,235.14303091645942,2183.2,0,93.50
49,50,243.9768732778015,49.68516909705485,201.5955710780318,2233.7,0,96.00
50,50,248.21628167796334,50.729785375499155,156.9478273728141,2280.8,0,95.60
51,50,252.83871670731145,50.078479226640006,171.3033658180746,2335.0,0,92.60
52,50,256.88661178769144,48.77766940268932,177.88227085385594,2380.5,0,88.70
53,50,261.3610592508103,48.42439723838956,197.46969450652077,2431.3,0,92.40
54,50,264.97369679566555,49.24461281615196,195.99437364856195,2473.7,0,96.80
55,50,269.72670908567113,49.15705683683623,217.6980576308965,2527.5,0,96.90
56,50,273.7920144612457,47.98355230691491,245.39355978206825,2574.9,0,96.40
57,50,278.5015009976987,49.406792875476704,226.47340079358696,2628.1,0,99.10
58,50,282.5755115260593,49.30107299196314,233.3387526145103,2675.4,0,102.00
59,50,287.4591010767223,50.28512496295808,242.94153566948182,2732.2,0,102.70
60,50,291.79426613677504,49.454020142084175,269.21661580348473,2781.2,0,106.90
61,50,296.82584324329,49.3171160242693,281.24883659263895,2840.4,0,104.40
62,50,301.4395731198522,50.1584182752012,276.977585192505,2892.5,0,104.80
63,50,306.3840987192622,51.23777521872883,290.852107612279,2950.3,0,106.40
64,50,310.9455976998633,51.839885274183175,283.13498678373804,3001.6,0,105.60
65,50,316.6039456616848,52.065815111759704,288.94418019351156,3066.1,0,96.40
66,50,320.5125583286214,51.74017161914742,324.75466818306484,3110.3,0,100.50
67,50,325.33521182016,51.629033598338815,333.06818759301535,3166.8,0,103.30
68,50,329.53979960917803,52.84873480751903,327.07735786476246,3215.3,0,104.40
69,50,334.7019539867277,53.08130219339926,335.0334107772243,3274.6,0,109.60
70,50,339.02841388361713,52.84080726729108,330.94445370278055,3325.0,0,110.50
71,50,344.6345309494776,52.20419115838447,338.06362339906474,3388.7,0,109.10
72,50,349.09156810702444,49.80888583818705,334.86535654114556,3439.5,0,110.70
73,50,354.5235821482977,46.78880262704055,291.2391338169313,3502.5,0,112.20
74,50,359.08508112889876,45.54490418766071,274.24306853432296,3554.8,0,115.40
75,50,364.7086084795764,41.4818241750764,260.283002481516,3620.0,0,121.60
76,50,370.044865871336,40.14893610411268,283.9716706716099,3680.2,0,116.30
77,50,375.74673958671,38.30541650145181,262.2342698637664,3746.3,0,112.90
78,50,380.5084570191242,42.72212797735672,282.78607331232183,3800.2,0,107.60
79,50,385.99270196673586,43.44717493663886,261.900200887309,3863.4,0,112.00
80,50,390.1972897661312,50.06056802075479,360.03010312415057,3912.7,0,116.00
81,50,396.09067679090964,52.51610588536738,388.79903410660563,3979.5,0,116.90
82,50,400.7305221258297,54.79273037947401,395.1839205556089,4033.3,0,116.60
83,50,406.6239091506082,54.05916422292164,407.1376537300725,4100.4,0,120.30
84,50,411.29857508629476,52.85984639556213,416.78348526883804,4154.7,0,121.20
85,50,417.4531166427654,52.14721100791625,365.9237489959479,4225.2,0,127.60
86,50,422.79807917693364,47.27902261410161,320.84899279309474,4286.2,0,123.20
87,50,428.95262072302694,44.67683615503381,279.3619833983367,4356.9,0,122.90
88,50,433.8797360272424,39.419250634468504,248.95414678021916,4413.9,0,119.30
89,50,440.01686727814115,37.22681456040242,244.7254868315929,4484.9,0,117.70
90,50,444.64800746027527,37.34067153028096,289.3916473956,4537.4,0,123.10
91,50,450.69808720406905,39.096566735071235,303.5424405351361,4606.9,0,127.60
92,50,455.74707461615594,40.57352680999854,302.7497445674339,4665.1,0,127.40
93,50,462.180180989136,47.035688488514765,355.0164065899086,4739.0,0,126.80
94,50,467.2291684012229,51.72392198300877,431.63831297694145,4796.8,0,128.00
95,50,473.6100438678646,55.28204650812333,435.1633383151152,4870.5,0,135.60
96,50,478.7373776446478,48.10896747234028,511.2801827009132,4929.3,0,135.30
97,50,485.814665168129,45.482625360221114,497.53439467359266,5011.1,0,135.70
98,50,490.90717833376834,40.53801771085742,461.04131039288126,5069.8,0,139.60
99,50,498.0715173643545,42.06040623101627,476.80000077640324,5152.4,0,130.60
100,50,503.5122365584137,46.8056166892144,504.33740978783817,5213.7,0,131.40
101,50,509.92793263619916,44.4455591785974,436.18515079525264,5287.6,0,140.50
102,50,515.3338312294918,50.73992573109195,412.86203258152347,5349.7,0,139.40
103,50,522.5591063192023,51.72626661933848,378.0844042199961,5433.5,0,135.70
104,50,527.8692482526042,56.53892455118901,364.2418335929758,5494.4,0,136.90
105,50,534.8420739737858,56.343775419558575,422.56546774061064,5574.1,0,141.40
106,50,540.2392674142925,52.75546307691609,465.93044606987667,5636.6,0,143.80
107,50,547.5690043063026,48.565232752718984,324.02485211772205,5720.2,0,147.20
108,50,553.2273522681242,51.95171593106239,338.52414214943843,5786.0,0,138.80
109,50,560.7921282334685,50.79283734355979,402.6862388423991,5872.1,0,141.10
110,50,565.7714744440224,48.986432625447776,451.86566850297453,5929.7,0,144.60
111,50,573.4755328228102,48.74238270444793,491.5123819881455,6017.7,0,149.50
112,50,578.8030850617839,50.29596804321394,615.1285816043282,6079.0,0,172.60
113,50,587.464710018726,53.36484802274715,620.4263501663585,6178.1,0,158.20
114,50,594.2373172673399,57.23409067668185,595.2689613545276,6256.7,0,141.50
115,50,601.6192850656885,54.65771849313507,603.109530437928,6340.5,0,146.70
116,50,607.0077733637866,51.76799616246576,452.5283475907585,6402.7,0,149.90
117,50,614.7553574961267,57.7167574315926,523.3143321874076,6492.4,0,146.40
118,50,620.4485260587148,52.76076853538293,376.4360042463402,6557.2,0,141.00
119,50,627.9436608225261,49.574010811801706,197.93189043610846,6643.0,0,141.40
120,50,633.1319306376791,55.915186466846976,296.24204796036884,6703.8,0,142.90
121,50,640.6270654014904,43.979199672901714,325.9733124708648,6788.3,0,146.30
122,50,646.0329639947831,42.80591930365346,471.8153060798161,6851.4,0,149.20
123,50,653.7022017728044,43.54001415233258,531.6215572649722,6939.0,0,153.50
124,50,659.438896088945,42.427327132702054,467.1361549207229,7005.0,0,155.40
125,50,667.4476347426,41.69532599763306,542.4559116419957,7098.0,0,182.70
126,50,673.3497269201644,42.34105663878684,670.3077592872523,7164.6,0,176.40
127,50,683.822023231116,44.246172484737656,555.1531791248879,7283.6,0,151.00
128,50,689.0799342581792,54.895903474500386,387.9978389464187,7344.6,0,160.70
129,50,697.4107634922735,47.257060019546394,642.8918457129957,7440.9,0,165.50
130,50,704.0266780322495,49.63277293717139,861.3714209495994,7516.2,0,160.20
131,50,712.1834042417565,55.05800755300126,812.9223358640818,7610.5,0,162.00
132,50,718.2683045863168,52.425038036580176,763.1034703042076,7680.6,0,165.20
133,50,726.6513647267496,56.1542611017707,751.2409430296636,7776.9,0,163.60
134,50,733.0235350406052,61.476440193682464,860.2671173589684,7850.2,0,154.70
135,50,741.2673127675947,51.3764953226066,762.9622668906038,7944.9,0,152.50
136,50,746.8821349758637,45.97847407389097,717.1652522638252,8010.1,0,156.90
137,50,754.9256942302853,42.19638382141245,657.2568930788041,8101.6,0,159.30
138,50,760.984479126865,41.6284116797382,648.8184796949996,8170.5,0,160.20
139,50,769.1499104891582,48.001992059548584,717.2637525160703,8265.4,0,156.40
140,50,775.2261056913098,46.85542765123776,710.9326494088448,8334.9,0,153.70
141,57.17390828584048,776,45.17547773846474,661.8409601454841,8426.0,1,155.30
142,62.98024381389136,776,47.293593159544095,695.4969532563908,8492.5,1,153.20
143,71.0499185162935,776,48.90657170224728,670.2298829522775,8585.2,1,150.80
144,76.66474072456256,776,58.7217856437953,793.6122781451753,8649.9,1,148.10
145,84.51678666957969,776,57.42799678413539,838.6254779885948,8739.6,1,149.20
