index,target_X,target_Y,pred_X,pred_Y,timestamp,segmentIndex,latency
0,50,51.74973529488489,496.88280342566344,496.9018859723081,25.7,0,57.00
1,50,54.30034445928624,486.3789222681955,486.4668177622784,53.2,0,53.10
2,50,57.23398024249653,417.83801613304814,418.8151572464821,85.9,0,50.70
3,50,59.27098550667681,354.4391550392104,356.37205035650607,109.2,0,52.90
4,50,61.92605647337768,199.28872426831094,203.65903814733628,139.9,0,54.50
5,50,64.1371647621452,127.24017475147167,134.31563156960334,165.0,0,59.50
6,50,66.94892843748403,21.980057089760933,34.06459443775081,198.2,0,60.60
7,50,69.5691788034184,-10.949885353205286,4.784063079946094,228.4,0,58.50
8,50,72.55504549296712,-45.842818247798554,-26.332079656338905,262.7,0,55.00
9,50,75.00989799747755,-51.81717673555547,-30.046109061462197,290.4,0,55.40
10,50,77.68237925937301,-48.647208730120816,-23.63239520095008,321.0,0,54.70
11,50,80.1198214583115,-42.055150912520986,-13.88832215905731,349.4,0,55.40
12,50,82.74007182424587,-24.247578481597234,6.788441805923529,379.8,0,60.40
13,50,85.26456553028932,-14.440461928813605,20.02212288233948,408.9,0,63.10
14,50,88.34618887972897,4.719020987547729,42.45776179222767,443.8,0,65.20
15,50,91.11442681189267,13.41822258099897,52.13483048231792,475.6,0,65.50
16,50,94.32662742198973,28.392233930834575,68.10940689581794,512.9,0,63.80
17,50,97.12098080213399,30.100606806329235,69.35479289790362,544.8,0,72.40
18,50,100.62915653431239,34.451363354070764,71.33147894724034,585.3,0,67.00
19,50,103.7543056373045,43.592837645603886,90.2692137941866,621.0,0,66.30
20,50,106.80981353876359,53.93581569290688,111.63295040120414,655.9,0,69.50
21,50,109.86532144022269,52.66874576874396,108.4204082895296,691.5,0,71.90
22,50,113.17327871021065,54.56665412849147,115.26721844717112,729.9,0,70.70
23,50,116.48994113298458,54.39256903828617,116.8301149611697,766.8,0,73.30
24,50,119.71084689586762,53.63457144269742,111.29199275741041,804.5,0,73.80
25,50,123.15808657929897,55.615278859570715,117.8863224246902,843.6,0,73.40
26,50,126.49215929726748,56.61367656021879,123.82905355935533,882.6,0,72.30
27,50,129.86105262637986,54.8943115567228,121.69005904441435,920.9,0,75.80
28,50,133.14289443800993,54.2492737258642,119.610873857773,959.0,0,74.30
29,50,136.7990577364177,53.44023238177133,122.42705045617109,1000.8,0,71.90
